Time [hr];Shelf Temperature [C];Product Temperature [C]
0.0;-35.0;15.8
0.01;-34.4;15.799921570601875
0.02;-33.8;15.799844073061834
0.03;-33.199999999999996;15.79976750754286
0.04;-32.599999999999994;15.799691873986745
0.05;-31.999999999999993;15.79961717239349
0.06;-31.39999999999999;15.799543402704884
0.07;-30.79999999999999;15.799470564979138
0.08;-30.19999999999999;15.799398659274459
0.09;-29.599999999999987;15.799327685416223
0.1;-28.999999999999986;15.799257643520846
0.11;-28.399999999999984;15.799188533646536
0.12;-27.799999999999983;15.799120355618669
0.13;-27.19999999999998;15.799053109553661
0.14;-26.59999999999998;15.798986795451512
0.15;-25.99999999999998;15.798921413254014
0.16;-25.399999999999977;15.798856963019375
0.17;-24.799999999999976;15.798793444747595
0.18;-24.199999999999974;15.798730858380466
0.19;-23.599999999999973;15.798669203976196
0.2;-22.99999999999997;15.798608481476577
0.21;-22.39999999999997;15.79854869088161
0.22;-21.79999999999997;15.798489832249501
0.23;-21.199999999999967;15.798431905522044
0.24;-20.599999999999966;15.798374910699238
0.25;-19.999999999999964;15.79831884783929
0.26;-19.399999999999963;15.798263716883994
0.27;-18.79999999999996;15.79820951783335
0.28;-18.19999999999996;15.798156250745564
0.29;-17.59999999999996;15.798103915562429
0.3;-16.999999999999957;15.798052512283945
0.31;-16.399999999999956;15.798002040910113
0.32;-15.799999999999956;15.79795250144093
0.33;-15.199999999999957;15.797903893934606
0.34;-14.599999999999957;15.797856218332933
0.35000000000000003;-13.999999999999957;15.797809474577704
0.36;-13.399999999999958;15.797763662785334
0.37;-12.799999999999958;15.797718782897615
0.38;-12.199999999999958;15.797674834914547
0.39;-11.599999999999959;15.797631818777923
0.4;-10.99999999999996;15.797589734604157
0.41000000000000003;-10.39999999999996;15.797548582276836
0.42;-9.79999999999996;15.797508361854165
0.43;-9.19999999999996;15.797469073394353
0.44;-8.59999999999996;15.797430716780985
0.45;-7.999999999999961;15.797393292072268
0.46;-7.399999999999961;15.797356799268202
0.47000000000000003;-6.799999999999962;15.79732123831058
0.48;-6.199999999999962;15.797286609315817
0.49;-5.599999999999962;15.797252912167497
0.5;-4.999999999999963;15.797220146865621
0.51;-4.399999999999963;15.797188313526604
0.52;-3.799999999999963;15.79715741203403
0.53;-3.199999999999963;15.797127442446108
0.54;-2.599999999999963;15.79709840470463
0.55;-1.9999999999999627;15.797070298867803
0.56;-1.3999999999999626;15.797043124877419
0.5700000000000001;-0.7999999999999626;15.797016882849894
0.58;-0.19999999999996265;15.796991572610606
0.59;0.4000000000000373;15.796967194275968
0.6;1.0000000000000373;15.796943747787774
0.61;1.6000000000000374;15.796921233146023
0.62;2.2000000000000375;15.796899650467132
0.63;2.8000000000000376;15.796878999634684
0.64;3.4000000000000377;15.796859280590471
0.65;4.000000000000037;15.796840493509118
0.66;4.600000000000037;15.796822638216
0.67;5.200000000000037;15.796805714827533
0.68;5.800000000000036;15.79678972328551
0.6900000000000001;6.400000000000036;15.796774663648138
0.7000000000000001;7.0000000000000355;15.796760535799002
0.71;7.600000000000035;15.79674733979631
0.72;8.200000000000035;15.796735075698269
0.73;8.800000000000034;15.796723743504879
0.74;9.400000000000034;15.796713343041517
0.75;10.000000000000034;15.796703874482807
0.76;10.600000000000033;15.796695337828748
0.77;11.200000000000033;15.796687732962924
0.78;11.800000000000033;15.796681060001752
0.79;12.400000000000032;15.796675318828816
0.8;13.000000000000032;15.796670509502324
0.81;13.600000000000032;15.796666632022275
0.8200000000000001;14.200000000000031;15.79666368638867
0.8300000000000001;14.800000000000031;15.796661672601507
0.84;15.40000000000003;15.796660590660789
0.85;16.000000000000032;15.796660440508308
0.86;16.600000000000033;15.796661222260479
0.87;17.200000000000035;15.796662935800885
0.88;17.800000000000036;15.796665581187735
0.89;18.400000000000038;15.796669158362821
0.9;19.00000000000004;15.79667366738435
0.91;19.60000000000004;15.796679108310531
0.92;19.00000000000004;14.996681232529266
0.93;18.400000000000038;14.996686983946748
0.9400000000000001;17.800000000000036;14.996691803634203
0.9500000000000001;17.200000000000035;14.996695691417006
0.96;16.600000000000033;14.996698647353366
0.97;16.000000000000032;14.996700671443282
0.98;15.400000000000032;14.996701763686756
0.99;14.800000000000033;14.996701924141995
1.0;14.200000000000033;14.996701152692582
1.01;13.600000000000033;14.996699449513141
1.02;13.000000000000034;14.996696814429049
1.03;12.400000000000034;14.996693247498513
1.04;11.800000000000034;14.996688748779741
1.05;11.200000000000035;14.996683318214526
1.06;10.600000000000035;14.996676955861075
1.07;10.000000000000036;14.996669661602972
1.08;9.400000000000036;14.996661435556634
1.09;8.800000000000036;14.99665227772206
1.1;8.200000000000037;14.996642188041042
1.11;7.600000000000037;14.99663116651358
1.12;7.000000000000037;14.996619213256091
1.1300000000000001;6.400000000000038;14.99660632809395
1.1400000000000001;5.800000000000038;14.996592511143573
1.1500000000000001;5.200000000000038;14.99657776240496
1.16;4.600000000000039;14.996562081819905
1.17;4.000000000000039;14.996545469446612
1.18;3.400000000000039;14.996527925226877
1.19;2.800000000000039;14.996509449277113
1.2;2.200000000000039;14.996490041480904
1.21;1.6000000000000387;14.996469701838253
1.22;1.0000000000000386;14.996448430407366
1.23;0.40000000000003866;14.996426227188243
1.24;-0.19999999999996132;14.996403092180882
1.25;-0.7999999999999613;14.996379025385288
1.26;-1.3999999999999613;14.99635402674325
1.27;-1.9999999999999614;14.996328096371183
1.28;-2.5999999999999615;14.996301234152671
1.29;-3.1999999999999615;14.996273440204133
1.3;-3.7999999999999616;14.996244714350944
1.31;-4.399999999999961;14.996215056825934
1.32;-4.999999999999961;14.99618446745448
1.33;-5.599999999999961;14.996152946236583
