Time [hr];Shelf Temperature [C];Product Temperature [C]
0.0;-35.0;15.8
0.01;-34.4;15.799921570601875
0.02;-33.8;15.799844073061834
0.03;-33.199999999999996;15.79976750754286
0.04;-32.599999999999994;15.799691873986745
0.05;-31.999999999999993;15.79961717239349
0.06;-31.39999999999999;15.799543402704884
0.07;-30.79999999999999;15.799470564979138
0.08;-30.19999999999999;15.799398659274459
0.09;-29.599999999999987;15.799327685416223
0.1;-28.999999999999986;15.799257643520846
0.11;-28.399999999999984;15.799188533646536
0.12;-27.799999999999983;15.799120355618669
0.13;-27.19999999999998;15.799053109553661
0.14;-26.59999999999998;15.798986795451512
0.15;-25.99999999999998;15.798921413254014
0.16;-25.399999999999977;15.798856963019375
0.17;-24.799999999999976;15.798793444747595
0.18;-24.199999999999974;15.798730858380466
0.19;-23.599999999999973;15.798669203976196
0.2;-22.99999999999997;15.798608481476577
0.21;-22.39999999999997;15.79854869088161
0.22;-21.79999999999997;15.798489832249501
0.23;-21.199999999999967;15.798431905522044
0.24;-20.599999999999966;15.798374910699238
0.25;-19.999999999999964;15.79831884783929
0.26;-19.399999999999963;15.798263716883994
0.27;-18.79999999999996;15.79820951783335
0.28;-18.19999999999996;15.798156250745564
0.29;-17.59999999999996;15.798103915562429
0.3;-16.999999999999957;15.798052512283945
0.31;-16.399999999999956;15.798002040910113
0.32;-15.799999999999956;15.79795250144093
0.33;-15.199999999999957;15.797903893934606
0.34;-14.599999999999957;15.797856218332933
0.35000000000000003;-13.999999999999957;15.797809474577704
0.36;-13.399999999999958;15.797763662785334
0.37;-12.799999999999958;15.797718782897615
0.38;-12.199999999999958;15.797674834914547
0.39;-11.599999999999959;15.797631818777923
0.4;-10.99999999999996;15.797589734604157
0.41000000000000003;-10.39999999999996;15.797548582276836
0.42;-9.79999999999996;15.797508361854165
0.43;-9.19999999999996;15.797469073394353
0.44;-8.59999999999996;15.797430716780985
0.45;-7.999999999999961;15.797393292072268
0.46;-7.399999999999961;15.797356799268202
0.47000000000000003;-6.799999999999962;15.79732123831058
0.48;-6.199999999999962;15.797286609315817
0.49;-5.599999999999962;15.797252912167497
0.5;-4.999999999999963;15.797220146865621
0.51;-4.399999999999963;15.797188313526604
0.52;-3.799999999999963;15.79715741203403
0.53;-3.199999999999963;15.797127442446108
0.54;-2.599999999999963;15.79709840470463
0.55;-3.199999999999963;14.597098404727912
0.56;-3.799999999999963;14.59707029884452
0.5700000000000001;-4.399999999999963;14.597041261231098
0.58;-4.999999999999963;14.59701129182944
0.59;-5.599999999999962;14.596980390639548
0.6;-6.199999999999962;14.596948557603211
0.61;-6.799999999999962;14.596915792836846
0.62;-7.399999999999961;14.596882096224038
0.63;-7.999999999999961;14.5968474678812
0.64;-8.59999999999996;14.596811907808336
0.65;-9.19999999999996;14.59677541583082
0.66;-9.79999999999996;14.596737992123275
0.67;-10.39999999999996;14.596699636685702
0.68;-10.99999999999996;14.596660349459894
0.6900000000000001;-11.599999999999959;14.59662013044585
0.7000000000000001;-12.199999999999958;14.596578979643569
0.71;-12.799999999999958;14.59653689711126
0.72;-13.399999999999958;14.596493882732508
0.73;-13.999999999999957;14.596449936623728
0.74;-14.599999999999957;14.596405058784919
0.75;-15.199999999999957;14.596359249157874
0.76;-15.799999999999956;14.596312507742594
0.77;-16.399999999999956;14.596264834597285
0.78;-16.999999999999957;14.596216229663739
0.79;-17.59999999999996;14.596166693000164
0.8;-18.19999999999996;14.596116224548354
0.81;-18.79999999999996;14.596064824366515
0.8200000000000001;-19.399999999999963;14.596012492454648
0.8300000000000001;-19.999999999999964;14.595959228754545
0.84;-20.599999999999966;14.595905033324414
0.85;-21.199999999999967;14.595849906106046
0.86;-21.79999999999997;14.595793847157651
0.87;-22.39999999999997;14.59573685642102
0.88;-22.99999999999997;14.59567893395436
0.89;-23.599999999999973;14.59562007981588
0.9;-24.199999999999974;14.595560293889164
0.91;-24.799999999999976;14.595499576174213
0.92;-25.399999999999977;14.59543792678744
0.93;-25.99999999999998;14.595375345612432
0.9400000000000001;-26.59999999999998;14.595311832707395
0.9500000000000001;-27.19999999999998;14.59524738807233
0.96;-27.799999999999983;14.595182011765445
0.97;-28.399999999999984;14.595115703670324
0.98;-28.999999999999986;14.595048463845174
0.99;-29.599999999999987;14.594980292231789
1.0;-30.19999999999999;14.594911188946583
1.01;-30.79999999999999;14.594841153989556
1.02;-31.39999999999999;14.594770187244293
1.03;-31.999999999999993;14.594698288710795
1.04;-32.599999999999994;14.594625458563684
1.05;-33.199999999999996;14.594551696628336
1.06;-33.8;14.594477003021169
1.07;-34.4;14.594401377683972
1.08;-35.0;14.59432482055854
1.09;-35.6;14.594247331819496
1.1;-36.2;14.594168911292215
1.11;-36.800000000000004;14.594089559093113
1.12;-37.400000000000006;14.594009275163984
1.1300000000000001;-38.00000000000001;14.593928059504826
1.1400000000000001;-38.60000000000001;14.593845912173848
1.1500000000000001;-39.20000000000001;14.593762833171048
1.16;-39.80000000000001;14.593678822438221
1.17;-40.40000000000001;14.593593879917158
1.18;-41.000000000000014;14.593508005782482
1.19;-41.600000000000016;14.593421199917778
1.2;-42.20000000000002;14.593333462381253
1.21;-42.80000000000002;14.593244793056492
1.22;-43.40000000000002;14.593155192118118
1.23;-44.00000000000002;14.593064659449716
1.24;-44.60000000000002;14.592973195109494
1.25;-45.200000000000024;14.592880799039243
1.26;-45.800000000000026;14.59278747135538
1.27;-46.40000000000003;14.592693211941487
1.28;-47.00000000000003;14.592598020797567
1.29;-47.60000000000003;14.592501898040034
1.3;-48.20000000000003;14.592404843552472
1.31;-48.80000000000003;14.592306857334883
1.32;-49.400000000000034;14.59220793950368
