Time [hr];Sublimation Temperature [C];Vial Bottom Temperature [C];Shelf Temperature [C];Chamber Pressure [mTorr];Sublimation Flux [kg/hr/m^2];Percent Dried
0.21;-16.79166106119312;-10.249995858093822;119.99999999999977;150.0;3.350382779069689;11.600515014191766
0.22;-16.598070753321707;-10.103962391752773;120.0;150.0;3.3466264026677375;12.144663389688947
0.23;-16.408069953264658;-9.961219843768744;119.99999999999974;150.0;3.3429546776019747;12.688201677846363
0.24;-16.221520801482974;-9.821640844899806;120.0;150.0;3.339364327590466;13.231143627208617
0.25;-16.038285501610833;-9.685097889766007;120.0;150.0;3.335852072849342;13.773502454206929
0.26;-15.85826255093549;-9.551497880399191;119.99999999999912;150.0;3.3324155186466236;14.315290842590391
0.27;-15.681318682847168;-9.420717279693834;120.0;150.0;3.329051487273351;14.856521087170584
0.28;-15.50734689272325;-9.292657416986453;120.0;150.0;3.3257574406526267;15.397204966655325
0.29;-15.336244170346145;-9.16722328001998;119.99999999999987;150.0;3.3225309348118244;15.937353847533736
0.3;-15.167912291668243;-9.044324279543119;119.99999999999972;150.0;3.3193696395499668;16.476978699360068
0.31;-15.002257875188345;-8.923874310676142;119.99999999999999;150.0;3.316271340016275;17.016090113231805
0.32;-14.839192184322453;-8.80579157320211;119.99999999999989;150.0;3.313233932087527;17.554698320524103
0.33;-14.678630856603009;-8.689998320059175;120.0;150.0;3.31025541589867;18.092813210873494
0.34;-14.520493626302507;-8.576420600259434;119.99999999999996;150.0;3.3073338892299238;18.630444349110828
0.35000000000000003;-14.36470017478901;-8.464984299091428;119.99999999999997;150.0;3.304467445650128;19.16760099112024
0.36;-14.211187964921585;-8.355632190246657;120.0;150.0;3.301654613143573;19.70429208315514
0.37;-14.059879533590976;-8.248292686663307;119.99999999999993;150.0;3.2988935502970747;20.240526332393284
0.38;-13.910709571237382;-8.142905714496798;120.0;150.0;3.2961827118486093;20.776312146941535
0.39;-13.763615121521347;-8.039413365081813;119.99999999999991;150.0;3.2935206082303976;21.311657683934875
0.4;-13.618535814069302;-7.93776011473316;119.99999999999997;150.0;3.290905811222838;21.846570858581952
0.41000000000000003;-13.475413422999392;-7.83789264383546;120.0;150.0;3.288336949308246;22.381059354128833
0.42;-13.334193739908835;-7.739760460140789;120.0;150.0;3.2858127236673482;22.91513063106821
0.43;-13.194822510486608;-7.643314360254706;119.99999999999986;150.0;3.2833318686773816;23.4487919389466
0.44;-13.057249283817933;-7.548507770975701;120.0;150.0;3.2808931863421567;23.982050321755928
0.45;-12.921425291426097;-7.455295896465725;119.99999999999969;150.0;3.278495524391331;24.514912628917017
0.46;-12.787303747312265;-7.363635773084879;120.0;150.0;3.276137777683717;25.04738552270609
0.47000000000000003;-12.654839733140118;-7.273486164482775;120.0;150.0;3.273818885508628;25.57947548590921
0.48;-12.523990097786633;-7.184807466714526;120.0;150.0;3.271537829145321;26.11118882903837
0.49;-12.394713369816522;-7.097561628344959;119.99999999999976;150.0;3.2692936298077764;26.642531697151277
0.5;-12.266969686199088;-7.011712083091598;120.0;150.0;3.2670853469121632;27.173510076337298
0.51;-12.140720663951585;-6.927223632176423;120.0;150.0;3.2649120750505283;27.704129799922
0.52;-12.015929375816858;-6.844062421497291;119.99999999999996;150.0;3.262772943403648;28.234396554180208
0.53;-11.892560268630547;-6.762195863742386;119.99999999999977;150.0;3.2606671137375725;28.764315883953696
0.54;-11.77057905394003;-6.6815925423133535;120.0;150.0;3.258593777932295;29.29389319794349
0.55;-11.6499526940202;-6.602222190964005;119.99999999999997;150.0;3.2565521574579233;29.82313377360077
0.56;-11.530649332193077;-6.524055636350362;119.9999999999997;150.0;3.2545415018970347;30.352042761932722
