Time [hr];Sublimation Temperature [C];Vial Bottom Temperature [C];Shelf Temperature [C];Chamber Pressure [mTorr];Sublimation Flux [kg/hr/m^2];Percent Dried
0.0;-35.85786638754547;-35.81174719881115;-35.0;150.0;0.020880337215661647;0.0
0.06730846140590226;-35.18836381038152;-34.96127118312586;-30.961492315645863;150.0;0.10288514905054187;0.06762875708355476
0.1346169228118045;-34.54070953859511;-34.13205068534133;-26.92298463129173;150.0;0.1854367103932854;0.2251584838884377
0.20192538421770678;-33.902926762412164;-33.31322348929691;-22.884476946937593;150.0;0.26825561561530065;0.47307983052847535
0.269233845623609;-33.265322834724124;-32.49608922704636;-18.84596926258346;150.0;0.35111806768115433;0.8115916107453319
0.33654230702951127;-32.62027706611763;-31.67390348243076;-14.807461578229322;150.0;0.43385058193461784;1.2406383887558978
0.40385076843541357;-31.96212202119842;-30.84175829353408;-10.768953893875185;150.0;0.5163269122981158;1.7595989543144441
0.4711592298413158;-31.286868542502724;-29.996323620095183;-6.730446209521052;150.0;0.5984614011140492;2.367855112830928
0.538467691247218;-30.591720894188512;-29.13540467306965;-2.6919385251669183;150.0;0.6801975924618833;3.0659305490494084
0.6057761526531203;-29.875206870656545;-28.258049297358838;1.3465691591872186;150.0;0.7615109943329494;3.8538252629698837
0.6730846140590225;-29.13754288305006;-27.364855502526247;5.385076843541356;150.0;0.8424169891530036;4.728964558636933
0.7403930754649248;-28.378821944462622;-26.456358890627175;9.423584527895493;150.0;0.9229293540583542;5.692682430559429
0.8077015368708271;-27.600074122273007;-25.53396360417086;13.46209221224963;150.0;1.0030842073985116;6.745026132782001
0.8750099982767293;-26.804766208862144;-24.601220137034677;17.50059989660376;150.0;1.0829728774953296;7.8786265830213935
0.9423184596826316;-26.1834311155638;-23.915021161198943;20.0;150.0;1.1296133229920526;9.082478586999674
1.0096269210885338;-25.869003159131374;-23.644924432282906;20.0;150.0;1.1226657033527447;10.307619697545302
1.076935382494436;-25.566295084929028;-23.385602947539653;20.0;150.0;1.1159952521868668;11.53166378505033
1.1442438439003384;-25.275816622113076;-23.137427795868;20.0;150.0;1.109611514906297;12.748767490028554
1.2115523053062407;-24.99831934199954;-22.900970842503785;20.0;150.0;1.1035292014342473;13.951635776983009
1.2788607667121428;-24.729754712928482;-22.672723065379746;20.0;150.0;1.0976580502161624;15.154315922746866
1.346169228118045;-24.47151226716107;-22.45381479793153;20.0;150.0;1.0920271364904235;16.34758800412967
1.4134776895239474;-24.222236186009212;-22.243045799178724;20.0;150.0;1.0866055868072142;17.53465347322759
1.4807861509298497;-23.98078745476701;-22.039409994723894;20.0;150.0;1.0813675222072654;18.71835016587238
1.548094612335752;-23.747060710421298;-21.84277929266658;20.0;150.0;1.0763096478198706;19.896822224546103
1.6154030737416543;-23.520600223003598;-21.65273266524934;20.0;150.0;1.0714211336704038;21.070069649248758
1.6827115351475563;-23.300990135116702;-21.468886080452986;20.0;150.0;1.066692101415148;22.238092439980345
1.7500199965534586;-23.087776566829575;-21.29082709343011;20.0;150.0;1.0621119418545901;23.401295779129363
1.817328457959361;-22.880506723148983;-21.11814773778657;20.0;150.0;1.0576701609881416;24.5602963075604
1.8846369193652632;-22.67897098890738;-20.95064544495964;20.0;150.0;1.0533615482035543;25.714519499311706
1.9519453807711655;-22.482877703632596;-20.788051278134468;20.0;150.0;1.0491791857173083;26.863965354383286
2.0192538421770676;-22.29195730146916;-20.63011677380768;20.0;150.0;1.0451166823749294;28.00863387277513
2.08656230358297;-22.105859606782975;-20.476529048401197;20.0;150.0;1.0411659899630759;29.149147759325782
2.153870764988872;-21.924343151441313;-20.32706724953315;20.0;150.0;1.0373214275601599;30.28560874062179
2.2211792263947743;-21.747213840512376;-20.181551174725993;20.0;150.0;1.0335783598702066;31.41792248081793
2.288487687800677;-21.574261256372704;-20.03978866762634;20.0;150.0;1.0299318441112248;32.54618803721752
2.355796149206579;-21.405296107620618;-19.901606351749503;20.0;150.0;1.026377420570279;33.67045766996567
2.4231046106124814;-21.240289669162124;-19.766963080062805;20.0;150.0;1.022914030834215;34.78976879835696
2.4904130720183835;-21.0789247890566;-19.635583323409158;20.0;150.0;1.0195345875466335;35.90517384839588
2.5577215334242855;-20.921040813750444;-19.507320812241776;20.0;150.0;1.016235328258491;37.01676507868106
2.625029994830188;-20.766486971635977;-19.382038400335855;20.0;150.0;1.0130127251973189;38.12463474781116
