LyoPRONTO Parameter Estimation Results
Generated: 2025-10-02 18:27:11

Estimated Parameters
R0 [cm²·hr·Torr/g],0.020892795981931313
A1 [cm·hr·Torr/g],7.843317809906947
A2 [1/cm],0.50813989753207

Standard Errors
σ(R0),0.041578275130411
σ(A1),0.47963956856463896
σ(A2),0.14421644158290062

Time [hr],Sublimation Temp [°C],Vial Bottom Temp [°C],Shelf Temp [°C],Chamber Pressure [mTorr],Sublimation Flux [kg/hr/m²],Fraction Dried
0.25,-35.143668614671434,-34.36758959,-20.6,150.0,0.35413970470977985,0.7827526409493709
0.26,-35.07434852112999,-34.27039281,-20.0,150.0,0.3670731657701845,0.8402698136798213
0.27,-35.00665273612999,-34.17478156,-19.4,150.0,0.3800474109578605,0.899887558879048
0.28,-34.94052872443242,-34.08070802,-18.799999999999997,150.0,0.39306121021284307,0.9616125004518592
0.29,-34.87592620087082,-33.98812651,-18.2,150.0,0.4061133885217747,1.0254510625243585
0.3,-34.81279699336749,-33.89699336,-17.6,150.0,0.4192028225739425,1.0914094783842743
0.31,-34.75109492705969,-33.8072668,-17.0,150.0,0.43232843793177417,1.1594937988781802
0.32,-34.69077572953356,-33.71890687,-16.4,150.0,0.4454892067158121,1.2297099003491683
0.33,-34.63179686211533,-33.63187526,-15.8,150.0,0.4586841434890562,1.3020634921985295
0.34,-34.57411748845288,-33.54613528,-15.2,150.0,0.4719123044853085,1.3765601237789935
0.35,-34.517698348029576,-33.46165174,-14.599999999999998,150.0,0.48517278452242635,1.4532051911626416
0.36,-34.462501661356704,-33.37839086,-14.0,150.0,0.49846471468728976,1.5320039434074908
0.37,-34.40849109851402,-33.29632024,-13.400000000000002,150.0,0.5117872615641194,1.6129614884480818
0.38,-34.35563162096537,-33.21540871,-12.8,150.0,0.5251396233760646,1.6960827988607374
0.39,-34.30388949232139,-33.13562634,-12.2,150.0,0.5385210302424368,1.7813727170021603
0.4,-34.25323219405218,-33.05694436,-11.599999999999998,150.0,0.5519307421208893,1.8688359601898112
0.41,-34.203628309528284,-32.97933505,-11.0,150.0,0.5653680459779232,1.9584771255480657
0.42,-34.155047534752406,-32.90277175,-10.400000000000002,150.0,0.5788322560461037,2.050300694394825
0.43,-34.10746059405898,-32.82722878,-9.8,150.0,0.5923227117662566,2.1443110366698996
0.44,-34.060839198040725,-32.7526814,-9.2,150.0,0.6058387767585616,2.240512415029178
0.45,-34.015155969802926,-32.67910574,-8.600000000000001,150.0,0.619379837021939,2.338908988771689
0.46,-33.97038445565765,-32.60647881,-8.0,150.0,0.6329453011913039,2.439504817474218
0.47,-33.92649901970217,-32.5347784,-7.399999999999999,150.0,0.6465345979652876,2.5423038646677014
0.48,-33.883474854502154,-32.46398309,-6.800000000000001,150.0,0.6601471763634522,2.6473100010958572
